cid,replyToCid,type,publishedTimeText,comment,author,authorIsChannelOwner,replyCount,voteCount,hasCreatorHeart,videoId,pageUrl,commentsCount,title
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH4yS7HOk6N,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago," @charzy-qb3vg  gak ada duitnya bang..mau ngutang lg udh ga ada negara laen yg mau ngasih lg , krn semua pd saving cost jg hadepin krisis ekonomi ini.",@dfffdfhh,FALSE,0,13,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH4zOaJkXv7,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,Selamat buat tempo sudah membuat tempo kembali rame karena insiden kepala babi yg tempo buat sendiri itu. Pasti dapat amplop besar dari papa soros nih ye,@Ninety_4,FALSE,0,5,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH50JRCsBYt,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,Proyek mangkrak 😂,@Rhidayah,FALSE,0,7,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH52kyKGaN3,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,Kasih timestamp,@areevave5608,FALSE,0,1,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH55V5HLb2M,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago, @Ninety_4 Wahh buzzer Mulyono muncul ni! Dibayar brapa loe? Makan tu wang haram untuk fitnah!,@suhanaabdsukur5417,FALSE,0,8,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH56fq5PSMe,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago (edited),Purnawirawan pendukung.. masuk personil mbg..,@selametmamiek8777,FALSE,0,1,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH57Dj0TDBn,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,"Tempo media maju terus pantang mundur, suarakan selalu kebenarannya",@AzwarHamid-p5o,FALSE,0,6,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH57NzoflZo,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,Bang tolong para petani di pati harga gabang jauh yg dtentukan...byk petani merugi.tepatnya dpati desa sugiharjo dukuh garas kec pati kab pati jawa Tengah,@aangianto9482,FALSE,0,2,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH59LemjJJq,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,😂😂​ @suhanaabdsukur5417 ,@adikamajaya,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH5E3EuEu-2,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,Indonesia tidak sesiap Jepang dan negara2 maju yg menjalankan program free meal. Korupsi terlalu mengerikan di negri ini.,@igenjaka9150,FALSE,0,4,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH5JU_Np_a-,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,TAPI KOK ADA YG SUDAH BANGKRUT KRN MBG GA DIBAYAR??😮😮😮,@Begoodbruh,FALSE,0,3,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH5KdFmjKuV,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,Awasi teruss. Anda semua luar biyasa.  Terimakasih n GBU,@jasjus0000,FALSE,0,3,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH5NisVHGJM,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,Awas...rumah dan keluarga lo lg di awasi intelstrad.😂,@ferryandika710,FALSE,0,2,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH5OV40iIcF,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,"Program BSPS - PUPR di investigasi juga, banyak potensi fraud nya di lapangan.",@taufikrahman2403,FALSE,0,1,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH5Uco5CKZt,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,Mumpung Lagi Tour Di Indonesia.Undang Bang Pandji Lagi Dong,@dedegunawan6516,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH5WC9Bnj4m,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,AGEN INTELIJEN MOSSAD BERNAMA GEORGE SOROS TERUS BERUSAHA MENGGAGALKAN PROGRAM MAKAN BERGIZI GRATIS KARENA TAKUT INDONESIA JADI NEGARA MAJU,@Noor.M-mg8mo,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
