conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
"1,917E+18",Mon Apr 28 23:54:20 +0000 2025,0,KEBERHASILAN PROGRAM MAKAN SIANG GRATIS???,"1,917E+18",,,in,Indonesia,0,0,0,https://x.com/RakaChandraW/status/1917004487698579601,304841323,RakaChandraW
"1,917E+18",Mon Apr 28 23:45:54 +0000 2025,1,program makan siang gratis masih jalan kah? kok pemberitaannya gak semasif diawal,"1,917E+18",,,in,"New Mexico, USA",0,1,0,https://x.com/minimorral/status/1917002364990685411,2960919056,minimorral
"1,91697E+18",Mon Apr 28 21:38:59 +0000 2025,0,isinya kan paling kita negara kuat kita negara besar makan siang gratis indonesia cerah hidup jokowi!!!! ,"1,91697E+18",,,in,Iron Island,0,0,0,https://x.com/mkresnaap/status/1916970424682090791,282922744,mkresnaap
"1,91684E+18",Mon Apr 28 21:10:07 +0000 2025,0,@CNNIndonesia Udah paling bener naro duit si bank swasta dah,"1,91696E+18",,CNNIndonesia,in,,0,0,0,https://x.com/KMSG_RI/status/1916963158780248549,"1,51218E+18",KMSG_RI
"1,91683E+18",Mon Apr 28 19:17:38 +0000 2025,0,@RickyKardjono @Puspen_TNI @_TNIAL_ buat makan siang gratis,"1,91693E+18",,RickyKardjono,in,,0,0,0,https://x.com/krokenmodinger/status/1916934850898280822,122899163,krokenmodinger
"1,91627E+18",Mon Apr 28 19:01:08 +0000 2025,0,@B3doel___ Lebih tepat sasaran apabila makan siang gratis diberikan untuk pak tukang dan kuli bangunan yg merehab sekolah...,"1,91693E+18",,B3doel___,in,,0,0,0,https://x.com/ToyoDess/status/1916930702375030899,"1,69977E+18",ToyoDess
"1,91689E+18",Mon Apr 28 16:36:06 +0000 2025,0,Lagian masak mau jd-in anak2 bahan percobaan makanan sih? Logic dong. Yg belain program makan siang gratis ini gimana sih mikirnya?,"1,91689E+18",,,in,,0,1,0,https://x.com/aeanakim_/status/1916894201746538794,"1,76805E+18",aeanakim_
"1,91386E+18",Mon Apr 28 16:15:13 +0000 2025,0,@faitavamour Bayar pake makan siang gratis gamau tp ya.,"1,91689E+18",,faitavamour,in,MVRP: Arthur Leonardo 21+ SND.,0,0,0,https://x.com/distruact/status/1916888945134277053,"8,25381E+17",distruact
"1,91669E+18",Mon Apr 28 15:29:55 +0000 2025,0,@mardigu024 Program PMT-AS makan siang gratis Anis tanpa libatkan vendor namun libatkan orang tua murid untuk sediakan makam siang gratis abah mang gak mau pamer kalo gw dapet ni video dari maren biar gw yg pamer jadi sedihmang abah orang baik yg peduli rakyat kecil https://t.co/JbB2FUKkeM,"1,91688E+18",https://pbs.twimg.com/ext_tw_video_thumb/1916877491588960256/pu/img/h3EzqCHXCmFnRXBc.jpg,Raju89755360,in,,0,2,0,https://x.com/Raju89755360/status/1916877547700379701,"1,09263E+18",Raju89755360
"1,91677E+18",Mon Apr 28 15:09:58 +0000 2025,0,@jigen593 @Marchfoward tapi u cakap kat situ maybe sebab nak tarik pelancong datang but definitely no yeah u should know pasal makan siang gratis RUU TNI and so on itu adalah penyebabnya.. investor lari sbb tak ketentuan ekonomi belum masuk rumour yg menteri kwngn dia nk turun tu(fake),"1,91687E+18",,jigen593,in,,0,1,0,https://x.com/_fix03/status/1916872525881196903,"1,83815E+18",_fix03
"1,91647E+18",Mon Apr 28 14:50:02 +0000 2025,1,@qiutcainisrtz @ARSIPAJA Ya data ini cukup bisa dipercaya. Prabowo Subianto memang punya approval rating sekitar 81% pada April 2025 tertinggi di antara pemimpin G20 berdasarkan laporan dari The World in Maps dan media seperti CNN Indonesia. Ini didukung oleh keberhasilan program makan siang gratis,"1,91687E+18",,qiutcainisrtz,in,wherever you are,1,0,0,https://x.com/grok/status/1916867509552320733,"1,72067E+18",grok
"1,91686E+18",Mon Apr 28 14:44:01 +0000 2025,3,@Naz_lira Menyimak argumentasi para ketum / pengurus partai dan para pakar intinya smua penakut maka atas dasar usulan Purn inilah menjadi dasarnya &amp; jadi keuntungan politikus Ibarat berita gembira yg dicetuskan oleh purn. Copot or tdk tentu deal politik. TDK ADA MAKAN SIANG GRATIS https://t.co/yyCfcphtSO,"1,91687E+18",https://pbs.twimg.com/tweet_video_thumb/GpoTdG1bcAADySH.jpg,Naz_lira,in,,0,0,0,https://x.com/bento15068118/status/1916865996318818748,"1,13774E+18",bento15068118
"1,91667E+18",Mon Apr 28 13:58:29 +0000 2025,0,@raykairi Majas ameliorasi ini ga ada yg salah. Klo bisa menyampaikan sesuatu dgn lbh sopan justru bagus rakyat jg akan lbh respek dan patuh. Cth program makan siang gratis diganti makan bergizi gratis.,"1,91685E+18",,raykairi,in,,0,1,0,https://x.com/XiPuting/status/1916854537392132606,"1,68853E+18",XiPuting
"1,91674E+18",Mon Apr 28 06:17:23 +0000 2025,0,dosa besar guru olahraga yaitu melihat anak didiknya tidak bisa berenang. yang dibutuhkan sekolah itu fasilitas bukan proyek makan siang gratis ajg,"1,91674E+18",,,in,,0,0,0,https://x.com/madityaputera14/status/1916738498423607804,"8,20221E+17",madityaputera14
"1,91669E+18",Mon Apr 28 05:18:01 +0000 2025,0,@juaramageran Met makan siang (yang ga gratis),"1,91672E+18",,juaramageran,in,,0,0,0,https://x.com/bugenhil/status/1916723555313803461,"1,25719E+18",bugenhil
"1,91649E+18",Mon Apr 28 05:11:23 +0000 2025,0,@KangManto123 Makan Siang Bergizi aj masih gratis mau memberi makan seluruh isi dunia?,"1,91672E+18",,KangManto123,in,,0,0,0,https://x.com/PPrijambodo/status/1916721887423693292,"1,71556E+18",PPrijambodo
"1,91672E+18",Mon Apr 28 04:51:17 +0000 2025,0,Gaada yg bagi2 makan siang gratis nih? Belum makan ni dari tadi malam,"1,91672E+18",,,in,"North Sumatra, Indonesia",0,0,0,https://x.com/AriWibowoHarjo/status/1916716828312928281,"1,29334E+18",AriWibowoHarjo
"1,91671E+18",Mon Apr 28 04:23:26 +0000 2025,0,Makan siang gratis ini kenapa gak contoh jepang aja ya.,"1,91671E+18",,,in,,0,3,0,https://x.com/Wandaaajaaaa/status/1916709818678800688,"1,90563E+18",Wandaaajaaaa
"1,91671E+18",Mon Apr 28 04:22:14 +0000 2025,0,Makan siang tidak gratis katanya budget Rp. 30rb https://t.co/bH45No91A4,"1,91671E+18",https://pbs.twimg.com/media/GpmFJikakAEiF2Y.jpg,,in,"Bekasi, Jawa Barat",0,0,0,https://x.com/DiditAditiap/status/1916709518618009850,608026791,DiditAditiap
"1,91669E+18",Mon Apr 28 04:07:44 +0000 2025,0,@detikcom mending makan siang gratis bwang.,"1,91671E+18",,detikcom,in,"Gotham, England",0,0,0,https://x.com/bLxCoffee/status/1916705869066101183,806932273,bLxCoffee
"1,91669E+18",Mon Apr 28 04:06:30 +0000 2025,0,@idextratime Program Pemerintah makan siang gratis ternyata visioner sekali ,"1,91671E+18",,idextratime,in,,0,0,0,https://x.com/joinakunid__/status/1916705560281391187,"1,82464E+18",joinakunid__
"1,91648E+18",Mon Apr 28 03:22:22 +0000 2025,0,@alettagia Happy banget ya kita mau ngejar makan siang gratis ,"1,91669E+18",,alettagia,in,REST,0,1,0,https://x.com/yaraespa/status/1916694453991166085,"1,62253E+18",yaraespa
"1,91648E+18",Mon Apr 28 02:55:29 +0000 2025,0,@renijun KENAPA KOK MAUNYA MAKAN SIANG GRATIS.,"1,91669E+18",,renijun,in,DROL!HC. Wispéēèll. Sangkarna.,0,0,0,https://x.com/Haechairn/status/1916687688268394851,"7,70961E+17",Haechairn
"1,91668E+18",Mon Apr 28 02:43:09 +0000 2025,0,@Nachtclair satu ngasih motivasi satu ngasih kelas dansa satu ngasih sepatu gratis lu mau ngasih apa? makan siang gratis? good luck dompet,"1,91668E+18",,Nachtclair,in,,0,1,0,https://x.com/HammerUser/status/1916684582012989734,"1,17386E+18",HammerUser
"1,91667E+18",Mon Apr 28 02:32:24 +0000 2025,1,@ferizandra Butuh makan siang gratis tuh macan uda fer ,"1,91668E+18",,ferizandra,in,Earth,0,1,0,https://x.com/Asfirdah/status/1916681879652294853,98120760,Asfirdah
"1,91598E+18",Mon Apr 28 02:14:04 +0000 2025,0,@ChovaMelians26 Waduh jgn salah bro itu #jendral_kancil Soal isue ijazah palsu itu jejaring sindikat politik harapan mrk jk yg diangkat brhasil mk kebijakan besar Presiden @jokowi bubar (petral FPI &amp; HTI) Freeport Hilirisasi trmasuk IKN dll akan rontok. Adakah makan siang gratis ?,"1,91668E+18",,ChovaMelians26,in,Indonesia,0,0,0,https://x.com/rasuyinhandoko2/status/1916677262436630533,"8,30631E+17",rasuyinhandoko2
